Run_ID	Arah	Trip	Jati_Mulya	Bekasi_Barat	Cikunir_2	Cikunir_1	Jatibening_Baru	Halim	Cawang	Ciliwung	Cikoko	Pancoran	Kuningan	Rasuna_Said	Setiabudi	Dukuh_Atas
Run-B63	DA_to_JM	63	22:06	22:02	21:58	21:54	21:50	21:44	21:39	21:36	21:33	21:29	21:24	21:21	21:18	21:15
Run-B64	JM_to_DA	64	20:38	20:42	20:47	20:50	20:54	21:01	21:06	21:09	21:12	21:15	21:21	21:23	21:27	21:29
Run-B64	DA_to_JM	64	22:25	22:21	22:17	22:13	22:09	22:03	21:58	21:55	21:52	21:48	21:43	21:40	21:37	21:34
Run-B65	JM_to_DA	65	20:57	21:01	21:06	21:09	21:13	21:20	21:25	21:28	21:31	21:34	21:40	21:42	21:46	21:48
Run-B65	DA_to_JM	65	22:44	22:40	22:36	22:32	22:28	22:22	22:17	22:14	22:11	22:07	22:02	21:59	21:56	21:53
Run-B66	JM_to_DA	66	21:16	21:20	21:25	21:28	21:32	21:39	21:44	21:47	21:50	21:53	21:59	22:01	22:05	22:07
Run-B66	DA_to_JM	66	23:03	22:59	22:55	22:51	22:47	22:41	22:36	22:33	22:30	22:26	22:21	22:18	22:15	22:12
Run-B67	JM_to_DA	67	21:35	21:39	21:44	21:47	21:51	21:58	22:03	22:06	22:09	22:12	22:18	22:20	22:24	22:26
Run-B67	DA_to_JM	67	23:22	23:18	23:14	23:10	23:06	23:00	22:55	22:52	22:49	22:45	22:40	22:37	22:34	22:31
Run-B68	JM_to_DA	68	21:54	21:58	22:03	22:06	22:10	22:17	22:22	22:25	22:28	22:31	22:37	22:39	22:43	22:45
Run-B69	JM_to_DA	69	22:13	22:17	22:22	22:25	22:29	22:36	22:41	22:44	22:47	22:50	22:56	22:58	23:02	23:04
